id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
3207,Ciamis,Jawa Barat,305676.17,1539960275229.2913,1590006779822.441,1616190611639.7278,1648612425463.0994,1611521552440.5996,1642552502617.5298,1665756577799.522,1707371811635.4778,63719516320.989044,66031158367.51346
3208,Kuningan,Jawa Barat,277583.76,1334433550968.2346,1377202680594.888,1384540419539.298,1394258297209.4062,1376158697719.053,1380589640953.429,1385931318226.2937,1400104947724.0159,54838507155.38589,55358616771.37042
3209,Cirebon,Jawa Barat,494699.98,1191967223198.877,1411248070931.3335,1438208253761.679,1471055321293.5413,1335152431444.3865,1351960608786.7026,1360110692083.954,1395579141952.0942,54891446575.106995,54280872976.5807
3210,Majalengka,Jawa Barat,566087.34,2145781757220.755,2311970894437.1914,2354270933127.1294,2403221990970.686,2253249346697.8047,2289293108924.3164,2310174557486.1274,2371916961772.5596,91794102390.57724,91956705293.13974
3211,Sumedang,Jawa Barat,298163.0,1466739606688.3525,1514893545682.3953,1526157339220.7192,1540450974257.3098,1484177139754.7117,1494781305817.7927,1503137842808.6946,1519562027947.1042,60383214785.686386,59925527922.91329
3212,Indramayu,Jawa Barat,1482255.86,3097144771587.867,3887271544910.9375,4011881712173.568,4152667567630.8486,3581153094777.0825,3658909128540.5684,3712435107904.9365,3864149719698.2686,150444247560.34723,147443696777.0067
3213,Subang,Jawa Barat,1038780.58,3681364078508.922,4125832498143.88,4160238698152.7847,4203491861853.901,4086208348066.517,4120659981630.2627,4150204513214.963,4205186628579.096,161407480875.44702,165309925710.89246
3214,Purwakarta,Jawa Barat,188731.69,946375893301.9033,976373852040.9462,981938472634.0367,989486197051.7861,972000783416.2311,976806672033.0549,981236495773.2548,990397806756.6143,38891277874.06803,39154784528.14047
3215,Karawang,Jawa Barat,1226880.08,3737861569459.7134,4373547146531.794,4419814947364.966,4474995501237.575,4337094221470.2114,4380951651222.639,4415845028478.763,4483823729161.0205,169665310980.1568,175798743314.99893
3216,Bekasi,Jawa Barat,555747.09,1858719318548.6223,2034321437088.0608,2076074693297.674,2126048173000.2046,1998846027223.2039,2037125882635.1182,2067960465336.8286,2125044246409.8706,80592949499.18996,81964341959.32253
3217,Bandung Barat,Jawa Barat,153648.29,,,,,,,,,,
3218,Pangandaran,Jawa Barat,148670.61,,,,,,,,,,
3271,Bogor,Jawa Barat,173.99,,,,,,,,,,
3272,Sukabumi,Jawa Barat,13254.34,,,,,,,,,,
3273,Bandung,Jawa Barat,7186.11,,,,,,,,,,
3274,Cirebon,Jawa Barat,861.82,,,,,,,,,,
3275,Bekasi,Jawa Barat,1868.44,,,,,,,,,,
3276,Depok,Jawa Barat,72.13,,,,,,,,,,
3277,Cimahi,Jawa Barat,338.03,,,,,,,,,,
3278,Tasikmalaya,Jawa Barat,54233.66,,,,,,,,,,
3279,Banjar,Jawa Barat,31271.18,,,,,,,,,,
3301,Cilacap,Jawa Tengah,761355.92,3026266029082.926,3254356675135.6855,3299262294817.4297,3362244651821.4634,3298244745238.532,3354236130558.368,3404218527841.5493,3502596318903.6875,129007821339.15424,135047911865.81906
3302,Banyumas,Jawa Tengah,275622.59,1318015776526.7393,1385459620246.8948,1399211765799.96,1415918020098.7126,1400070643190.9895,1415039755579.864,1426366326956.1726,1447380700600.5195,55067172336.061485,56768898285.46087
3303,Purbalingga,Jawa Tengah,154076.91,804079074054.6976,833146119825.5103,843149651535.8333,855498075708.6631,845189444013.9797,855739948632.5791,863510935593.1047,877571482420.6417,33271666280.17694,34339081531.317818
3304,Banjarnegara,Jawa Tengah,109047.94,606698746539.2732,623847856066.2432,628060569845.7196,633618947528.5359,628620886666.9824,633358384156.1864,637159957276.1359,644494259298.4263,24884522497.851887,25395324102.310696
3305,Kebumen,Jawa Tengah,424840.1,1770995655476.1667,1882875317206.08,1911112746958.229,1947659857606.3052,1895795400498.428,1925662829658.182,1953730844776.663,1997032734345.9229,74875607291.76283,77451972348.49178
3306,Purworejo,Jawa Tengah,279100.57,1243170804994.7441,1299620166125.3247,1319464268783.4968,1344818419230.7188,1319581553644.7664,1340642569245.1233,1359265844876.7012,1389894406759.606,51895453626.71032,53908841681.45536
3307,Wonosobo,Jawa Tengah,66996.75,,,,,,,,,,
3308,Magelang,Jawa Tengah,169112.19,898992209799.9458,928027202427.3079,930036679461.2212,933461151366.5552,935558261961.7534,937948190049.8136,940501553222.2997,943044976471.7648,36884851629.664734,37550132731.44549
