kategori_bencana,kabupaten,SUM(jumlah_kejadian)
Kekeringan,Hulu Sungai Utara,2.0
Kekeringan,Belu,6.0
Banjir,Flores Timur,17.0
Banjir,Kota Tomohon,1.2000000029802322
Banjir,Banggai Kepulauan,10.0
Banjir,Dharmasraya,33.0
Banjir,Bima,150.0
Banjir,Aceh Timur,81.0
Kekeringan,Tapin,1.0
Banjir,Buton,10.0
Kekeringan,Karanganyar,7.0
Banjir,Seruyan,23.0
Kekeringan,Batanghari,6.0
Banjir,Tulang Bawang,28.0
Banjir,Sukoharjo,35.41666699945927
Banjir,Kota Tangerang Selatan,65.66666666666666
Banjir,Gianyar,3.125
Kekeringan,Lampung Utara,3.0
Banjir,Luwu Utara,110.99999999999999
Banjir,Sukabumi,115.5
Kekeringan,Kota Bandung,1.0
Kekeringan,Mamasa,1.0
Banjir,Poso,79.5
Banjir,Kota Ternate,17.0
Banjir,Kota Jayapura,17.0
Banjir,Sumenep,32.0
Banjir,Mamuju Tengah,38.0
Banjir,Ende,23.0
Banjir,Minahasa Selatan,9.700000002980232
Banjir,Kolaka,36.0
Kekeringan,Sumba Tengah,3.0
Banjir,Kepulauan Yapen,10.0
Banjir,Aceh Utara,76.0
Kekeringan,Magelang,10.0
Banjir,Barito Timur,9.0
Banjir,Kota Bengkulu,31.0
Kekeringan,Aceh Tamiang,6.0
Banjir,Kota Cirebon,29.0
Banjir,Kebumen,55.0
Banjir,Mempawah,16.0
Kekeringan,Aceh Selatan,1.0
Banjir,Nias,14.0
Kekeringan,Flores Timur,2.0
Kekeringan,Cianjur,13.0
Banjir,Tanjung Jabung Barat,15.0
Banjir,Gayo Lues,37.0
Banjir,Muna Barat,6.0
Banjir,Ciamis,79.0
Banjir,Ogan Komering Ulu Selatan,46.0
Kekeringan,Temanggung,10.11111111111111
Banjir,Way Kanan,15.0
Kekeringan,Malaka,2.0
Banjir,Kota Tegal,37.0
Banjir,Kota Pariaman,9.0
Kekeringan,Padang Lawas Utara,4.0
Banjir,Muna,10.0
Banjir,Klungkung,2.125
Banjir,Asahan,68.0
Kekeringan,Gorontalo Utara,0.25
Kekeringan,Tuban,13.0
Banjir,Simalungun,15.0
Banjir,Labuhanbatu Selatan,18.0
Banjir,Kota Pematangsiantar,15.0
Kekeringan,Indramayu,11.0
Banjir,Kolaka Utara,40.0
Banjir,Subang,62.0
Kekeringan,Sarolangun,3.0
Banjir,Kota Yogyakarta,13.0
Kekeringan,Gresik,9.0
Kekeringan,Solok,2.0
Kekeringan,Luwu,5.0
Kekeringan,Ogan Komering Ulu Selatan,3.0
Kekeringan,Luwu Utara,1.0
Banjir,Muko Muko,13.0
Banjir,Kep. Siau Tagulandang Biaro,11.0
Banjir,Kepulauan Selayar,8.0
Kekeringan,Pati,12.0
Kekeringan,Rote Ndao,4.0
Banjir,Bandung Barat,33.0
Banjir,Mappi,3.0
Kekeringan,Alor,2.0
Banjir,Kota Pagar Alam,11.0
Banjir,Seluma,42.0
Banjir,Kampar,82.39285700023174
Banjir,Bangli,6.125
Banjir,Kerinci,58.0
Banjir,Lumajang,52.0
Banjir,Klaten,59.41666699945927
Banjir,Sabu Raijua,2.0
Banjir,Kota Sabang,8.0
Kekeringan,Kota Bandar Lampung,7.0
Banjir,Pringsewu,13.0
Kekeringan,Tegal,16.0
Kekeringan,Bandung,19.0
Banjir,Rokan Hilir,30.0
Kekeringan,Sukabumi,14.0
Kekeringan,Kota Kediri,2.0
Banjir,Ketapang,50.0
Banjir,Maluku Tengah,31.0
Banjir,Fak Fak,3.0
Kekeringan,Kota Serang,6.0
Kekeringan,Nagekeo,2.0
Banjir,Kapuas Hulu,51.33333298563957
Kekeringan,Tabalong,1.0
Kekeringan,Bangkalan,6.0
Banjir,Halmahera Barat,28.0
Kekeringan,Pidie Jaya,1.0
Kekeringan,Banyuasin,1.0
Banjir,Kuantan Singingi,55.14285700023174
Banjir,Kota Cimahi,23.0
Banjir,Lebong,18.0
Banjir,Kota Bandung,34.0
Banjir,Balangan,97.26785700023174
Banjir,Tabanan,8.125
Banjir,Mamberamo Raya,4.0
Kekeringan,Kotawaringin Timur,1.0
Kekeringan,Tanah Bumbu,1.0
Banjir,Madiun,55.0
Banjir,Asmat,2.0
Kekeringan,Bengkalis,1.0
Banjir,Belu,37.33333298563957
Banjir,Sekadau,32.33333298563957
Banjir,Kota Surabaya,16.0
Kekeringan,Bone,8.0
Banjir,Lampung Tengah,23.0
Banjir,Kota Pasuruan,52.0
Banjir,Aceh Singkil,49.20000000298023
Kekeringan,Sijunjung,2.0
Banjir,Kota Sorong,11.0
Banjir,Kota Padang,40.33333298563957
Banjir,Kendal,83.0
Banjir,Sumba Timur,26.333332985639572
Banjir,Mahakam Ulu,7.000000000000001
Banjir,Temanggung,32.0
Banjir,Tasikmalaya,45.0
Banjir,Teluk Bintuni,14.0
Banjir,Labuhanbatu,23.0
Banjir,Landak,53.0
Banjir,Badung,25.125
Kekeringan,Tanggamus,7.0
Kekeringan,Lumajang,3.0
Kekeringan,Balangan,1.0
Banjir,Tana Tidung,2.0
Banjir,Indragiri Hulu,48.39285700023174
Banjir,Bengkulu Selatan,13.0
Banjir,Probolinggo,51.0
Kekeringan,Bengkulu Utara,3.0
Banjir,Serdang Bedagai,61.0
Banjir,Nagekeo,13.0
Banjir,Kota Adm. Jakarta Barat,42.24999931653339
Banjir,Bangka Barat,19.0
Banjir,Tulungagung,22.0
Banjir,Mamuju,35.0
Kekeringan,Probolinggo,2.0
Kekeringan,Tebo,3.0
Banjir,Barito Selatan,43.0
Kekeringan,Pandeglang,7.0
Banjir,Wajo,73.75
Banjir,Karawang,146.0
Kekeringan,Jepara,5.0
Kekeringan,Pemalang,11.0
Banjir,Gunung Mas,23.0
Kekeringan,Kota Semarang,3.111111111111111
Banjir,Jepara,74.33333298563957
Kekeringan,Bulukumba,12.0
Kekeringan,Wonogiri,10.0
Banjir,Ponorogo,51.5
Kekeringan,Buton Utara,1.0
Banjir,Padang Lawas,24.0
Banjir,Kota Tangerang,28.666666666666664
Banjir,Puncak Jaya,1.0
Banjir,Takalar,13.0
Banjir,Tanggamus,50.0
Kekeringan,Ponorogo,10.0
Kekeringan,Tangerang,6.0
Kekeringan,Bantul,9.0
Banjir,Banjarnegara,20.0
Banjir,Tebo,24.0
Banjir,Barito Kuala,18.125
Banjir,Pangkajene Dan Kepulauan,12.166666999459267
Banjir,Purworejo,42.0
Banjir,Kota Padang Sidempuan,20.0
Banjir,Bulukumba,19.5
Banjir,Kota Surakarta,46.16666699945927
Banjir,Kota Semarang,113.0
Banjir,Kota Mataram,17.0
Banjir,Gorontalo Utara,53.0
Banjir,Banggai,54.0
Kekeringan,Kota Cimahi,2.0
Banjir,Pemalang,54.0
Kekeringan,Rokan Hilir,1.0
Kekeringan,Demak,5.0
Banjir,Lanny Jaya,1.0
Kekeringan,Paser,2.0
Kekeringan,Sidenreng Rappang,7.0
Banjir,Waropen,7.0
Kekeringan,Dairi,1.0
Banjir,Pegunungan Arfak,3.0
Banjir,Seram Bagian Timur,23.0
Kekeringan,Tasikmalaya,14.0
Banjir,Cirebon,145.99999999999997
Kekeringan,Lima Puluh Kota,6.0
Banjir,Deli Serdang,80.0
Banjir,Barito Utara,46.0
Banjir,Karimun,7.0
Kekeringan,Kota Salatiga,2.0
Kekeringan,Barru,6.0
Kekeringan,Mojokerto,7.0
Kekeringan,Sumenep,4.0
Kekeringan,Minahasa,2.0
Banjir,Halmahera Tengah,16.0
Kekeringan,Aceh Timur,3.0
Kekeringan,Kolaka Timur,1.0
Kekeringan,Muara Enim,4.0
Banjir,Lembata,11.333332985639572
Banjir,Sumbawa,102.83333298563956
Kekeringan,Tulang Bawang Barat,1.0
Banjir,Kepulauan Sangihe,16.0
Kekeringan,Kota Tegal,3.0
Kekeringan,Bone Bolango,2.25
Banjir,Kota Madiun,4.0
Banjir,Kota Pangkal Pinang,23.0
Banjir,Kota Pekalongan,44.0
Banjir,Banyumas,102.0
Banjir,Kota Gorontalo,24.5
Kekeringan,Blitar,4.0
Kekeringan,Aceh Barat Daya,1.0
Banjir,Tana Toraja,11.0
Banjir,Kota Kendari,26.0
Kekeringan,Jember,3.0
Banjir,Kota Magelang,1.0
Banjir,Bantul,21.0
Kekeringan,Agam,2.0
Banjir,Sorong,10.0
Banjir,Kota Sawahlunto,16.5
Kekeringan,Sinjai,5.0
Banjir,Kubu Raya,23.0
Kekeringan,Serang,16.0
Banjir,Kota Kediri,4.0
Kekeringan,Tana Toraja,3.0
Banjir,Kolaka Timur,11.0
Banjir,Kota Medan,96.0
Banjir,Sintang,26.333332985639572
Banjir,Tolikara,5.0
Kekeringan,Poso,1.0
Kekeringan,Kota Tasikmalaya,7.0
Banjir,Penukal Abab Lematang Ilir,32.0
Banjir,Buru Selatan,4.0
Kekeringan,Konawe,4.0
Kekeringan,Aceh Besar,15.0
Banjir,Hulu Sungai Selatan,28.142857000231743
Kekeringan,Trenggalek,13.0
Banjir,Aceh Tamiang,53.0
Kekeringan,Pidie,8.0
Kekeringan,Banggai Kepulauan,3.0
Banjir,Bolaang Mongondow Timur,14.0
Banjir,Bekasi,107.2
Banjir,Kota Banjarmasin,9.0
Kekeringan,Parigi Moutong,4.0
Banjir,Bireuen,39.5
Kekeringan,Seram Bagian Timur,2.0
Banjir,Kota Probolinggo,26.0
Kekeringan,Takalar,7.0
Banjir,Kotawaringin Timur,42.0
Banjir,Bengkulu Tengah,16.0
Banjir,Tapanuli Utara,8.0
Banjir,Alor,24.0
Kekeringan,Purworejo,14.0
Banjir,Empat Lawang,28.0
Banjir,Melawi,38.0
Banjir,Pulau Taliabu,22.0
Kekeringan,Pangkajene Dan Kepulauan,4.0
Banjir,Buton Tengah,2.0
Banjir,Simeulue,38.0
Banjir,Kota Manado,32.20000000298023
Kekeringan,Kota Cirebon,5.0
Kekeringan,Sanggau,1.0
Banjir,Purwakarta,19.0
Banjir,Kaur,13.0
Banjir,Ogan Ilir,41.0
Banjir,Trenggalek,54.0
Banjir,Paniai,7.0
Banjir,Dompu,66.33333298563957
Banjir,Gorontalo,76.5
Banjir,Raja Ampat,4.0
Banjir,Halmahera Timur,34.0
Kekeringan,Ngada,2.0
Banjir,Tapin,47.26785700023174
Banjir,Tojo Una Una,25.0
Kekeringan,Donggala,1.0
Kekeringan,Manggarai Timur,2.0
Kekeringan,Pacitan,8.0
Kekeringan,Bengkulu Selatan,3.0
Banjir,Deiyai,2.0
Kekeringan,Hulu Sungai Tengah,2.0
Banjir,Pelalawan,18.392857000231743
Banjir,Natuna,9.0
Banjir,Kota Sukabumi,15.0
Kekeringan,Bangka Tengah,0.25
Kekeringan,Pohuwato,7.0
Kekeringan,Malang,1.0
Kekeringan,Siak,1.0
Kekeringan,Kota Sukabumi,3.0
Banjir,Solok,32.5
Banjir,Banyuwangi,64.0
Kekeringan,Ogan Komering Ilir,3.0
Kekeringan,Sukoharjo,7.0
Banjir,Kepahiang,19.0
Banjir,Kota Singkawang,24.0
Banjir,Kota Tidore Kepulauan,24.0
Banjir,Toraja Utara,1.0
Banjir,Bangka Tengah,10.0
Banjir,Bolaang Mongondow Selatan,18.0
Kekeringan,Lombok Tengah,9.0
Kekeringan,Majalengka,14.0
Kekeringan,Kota Padang,5.0
Kekeringan,Bolaang Mongondow Utara,3.0
Banjir,Kota Padang Panjang,4.0
Banjir,Tambrauw,3.0
Kekeringan,Kota Sungai Penuh,5.0
Kekeringan,Manggarai,4.0
Banjir,Bogor,276.20000000000005
Banjir,Banyuasin,29.0
Banjir,Kota Bandar Lampung,38.0
Kekeringan,Semarang,19.11111111111111
Banjir,Kota Binjai,33.0
Banjir,Kota Mojokerto,1.0
Banjir,Teluk Wondama,11.0
Banjir,Sarmi,9.0
Banjir,Nduga,2.0
Kekeringan,Pesawaran,8.0
Banjir,Pamekasan,30.0
Banjir,Gresik,127.16666699945927
Kekeringan,Ogan Ilir,1.0
Banjir,Bombana,17.0
Banjir,Konawe,40.0
Kekeringan,Kupang,3.0
Kekeringan,Puncak,1.0
Banjir,Gowa,20.166666999459267
Banjir,Kota Dumai,13.0
Banjir,Mamasa,14.0
Banjir,Bone,33.08333298563957
Banjir,Kota Palu,26.5
Kekeringan,Timor Tengah Selatan,3.0
Banjir,Kudus,76.33333298563957
Banjir,Kota Adm. Jakarta Pusat,6.000000011920929
Banjir,Kota Palembang,16.0
Banjir,Kota Pontianak,5.0
Kekeringan,Lampung Tengah,3.0
Banjir,Kota Gunungsitoli,12.0
Banjir,Lahat,39.0
Banjir,Sorong Selatan,1.0
Kekeringan,Sumbawa Barat,9.0
Banjir,Maluku Tenggara,7.0
Kekeringan,Manggarai Barat,2.0
Kekeringan,Kota Surabaya,2.0
Kekeringan,Kota Depok,1.0
Banjir,Kota Samarinda,66.0
Kekeringan,Situbondo,6.0
Banjir,Hulu Sungai Tengah,49.14285700023174
Banjir,Bantaeng,5.0
Banjir,Timor Tengah Selatan,15.0
Banjir,Bolaang Mongondow,37.0
