id_kabkota,kab_kota,id_prov,prov,tahun,total_prod
3503,Trenggalek,35,Jawa Timur,2022,115758
3504,Tulungagung,35,Jawa Timur,2022,207217.3
3505,Blitar,35,Jawa Timur,2022,215482.8
3506,Kediri,35,Jawa Timur,2022,168853.6
3507,Malang,35,Jawa Timur,2022,271606.8
3508,Lumajang,35,Jawa Timur,2022,300829
3509,Jember,35,Jawa Timur,2022,607371.2
3510,Banyuwangi,35,Jawa Timur,2022,462206
3511,Bondowoso,35,Jawa Timur,2022,238677.7
3512,Situbondo,35,Jawa Timur,2022,141628
3513,Probolinggo,35,Jawa Timur,2022,185412.5
3514,Pasuruan,35,Jawa Timur,2022,247255.7
3515,Sidoarjo,35,Jawa Timur,2022,194540.5
3516,Mojokerto,35,Jawa Timur,2022,281829.4
3517,Jombang,35,Jawa Timur,2022,337172.1
3518,Nganjuk,35,Jawa Timur,2022,376476.4
3519,Madiun,35,Jawa Timur,2022,401573.7
3520,Magetan,35,Jawa Timur,2022,266699.9
3521,Ngawi,35,Jawa Timur,2022,755939
3522,Bojonegoro,35,Jawa Timur,2022,704288.9
3523,Tuban,35,Jawa Timur,2022,498938.6
3524,Lamongan,35,Jawa Timur,2022,903882.3
3525,Gresik,35,Jawa Timur,2022,411242.2
3526,Bangkalan,35,Jawa Timur,2022,198122.7
3527,Sampang,35,Jawa Timur,2022,172494.4
3528,Pamekasan,35,Jawa Timur,2022,107648.7
3529,Sumenep,35,Jawa Timur,2022,230581.3
3571,Kediri,35,Jawa Timur,2022,10197.5
3572,Blitar,35,Jawa Timur,2022,5212.13
3573,Malang,35,Jawa Timur,2022,10771.15
3574,Probolinggo,35,Jawa Timur,2022,8103.92
3575,Pasuruan,35,Jawa Timur,2022,7293.69
3576,Mojokerto,35,Jawa Timur,2022,5032.96
3577,Madiun,35,Jawa Timur,2022,11453.92
3578,Surabaya,35,Jawa Timur,2022,8117.31
3579,Batu,35,Jawa Timur,2022,6762.57
3601,Pandeglang,36,Banten,2022,553202.6
3602,Lebak,36,Banten,2022,430413.6
3603,Tangerang,36,Banten,2022,289798.4
3604,Serang,36,Banten,2022,446654.3
3671,Tangerang,36,Banten,2022,3424.91
3672,Cilegon,36,Banten,2022,9101.37
3673,Serang,36,Banten,2022,55987.47
3674,Tangerang Selatan,36,Banten,2022,0
5301,Sumba Barat,53,Nusa Tenggara Timur,2022,30180.24
5302,Sumba Timur,53,Nusa Tenggara Timur,2022,52283.93
5303,Kupang,53,Nusa Tenggara Timur,2022,61254.96
5304,Timor Tengah Selatan,53,Nusa Tenggara Timur,2022,15615.68
5305,Timor Tengah Utara,53,Nusa Tenggara Timur,2022,25924.14
5306,Belu,53,Nusa Tenggara Timur,2022,23238.92
5307,Alor,53,Nusa Tenggara Timur,2022,3555.68
5308,Lembata,53,Nusa Tenggara Timur,2022,201.09
5309,Flores Timur,53,Nusa Tenggara Timur,2022,7516.59
5310,Sikka,53,Nusa Tenggara Timur,2022,11345.98
5311,Ende,53,Nusa Tenggara Timur,2022,21881.53
5312,Ngada,53,Nusa Tenggara Timur,2022,48062.41
5313,Manggarai,53,Nusa Tenggara Timur,2022,88358.88
5314,Rote Ndao,53,Nusa Tenggara Timur,2022,28835.23
5315,Manggarai Barat,53,Nusa Tenggara Timur,2022,124086.7
5316,Nagekeo,53,Nusa Tenggara Timur,2022,27527.08
5317,Sumba Tengah,53,Nusa Tenggara Timur,2022,24187.39
5318,Sumba Barat Daya,53,Nusa Tenggara Timur,2022,49435.23
5319,Manggarai Timur,53,Nusa Tenggara Timur,2022,77979.11
5320,Sabu Raijua,53,Nusa Tenggara Timur,2022,7204.79
5321,Malaka,53,Nusa Tenggara Timur,2022,25806.1
5371,Kupang,53,Nusa Tenggara Timur,2022,1568.24
6101,Sambas,61,Kalimantan Barat,2022,176541.14
6102,Mempawah,61,Kalimantan Barat,2022,50190.35
6103,Sanggau,61,Kalimantan Barat,2022,64116.98
6104,Ketapang,61,Kalimantan Barat,2022,105650.43
6105,Sintang,61,Kalimantan Barat,2022,31303.8
6106,Kapuas Hulu,61,Kalimantan Barat,2022,15174.03
6107,Bengkayang,61,Kalimantan Barat,2022,32340.73
6108,Landak,61,Kalimantan Barat,2022,93452.27
6109,Sekadau,61,Kalimantan Barat,2022,29270.04
6110,Melawi,61,Kalimantan Barat,2022,7952.03
6111,Kayong Utara,61,Kalimantan Barat,2022,42280.23
6112,Kubu Raya,61,Kalimantan Barat,2022,70329.98
6171,Pontianak,61,Kalimantan Barat,2022,457.53
6172,Singkawang,61,Kalimantan Barat,2022,12166.26
6201,Kotawaringin Barat,62,Kalimantan Tengah,2022,330.44
6202,Kotawaringin Timur,62,Kalimantan Tengah,2022,29160.84
6203,Kapuas,62,Kalimantan Tengah,2022,153060.04
6204,Barito Selatan,62,Kalimantan Tengah,2022,6170.98
6205,Barito Utara,62,Kalimantan Tengah,2022,8092.07
6206,Katingan,62,Kalimantan Tengah,2022,30994.22
6207,Seruyan,62,Kalimantan Tengah,2022,6897.39
6208,Sukamara,62,Kalimantan Tengah,2022,2091.58
6209,Lamandau,62,Kalimantan Tengah,2022,894.55
6210,Gunung Mas,62,Kalimantan Tengah,2022,568.9
6211,Pulang Pisau,62,Kalimantan Tengah,2022,85923.18
6212,Murung Raya,62,Kalimantan Tengah,2022,2184.04
6213,Barito Timur,62,Kalimantan Tengah,2022,17525.59
6271,Palangkaraya,62,Kalimantan Tengah,2022,24.93
6301,Tanah Laut,63,Kalimantan Selatan,2022,73487.24
6302,Kotabaru,63,Kalimantan Selatan,2022,17609.79
6303,Banjar,63,Kalimantan Selatan,2022,129050.5
6304,Barito Kuala,63,Kalimantan Selatan,2022,186867.79
6305,Tapin,63,Kalimantan Selatan,2022,101228.04
6306,Hulu Sungai Selatan,63,Kalimantan Selatan,2022,58463.58
6307,Hulu Sungai Tengah,63,Kalimantan Selatan,2022,109758.31
6308,Hulu Sungai Utara,63,Kalimantan Selatan,2022,25622.89
6309,Tabalong,63,Kalimantan Selatan,2022,54341.6
6310,Tanah Bumbu,63,Kalimantan Selatan,2022,39429
6311,Balangan,63,Kalimantan Selatan,2022,15548.9
6371,Banjarmasin,63,Kalimantan Selatan,2022,4932.7
6372,Banjarbaru,63,Kalimantan Selatan,2022,3078.86
6401,Paser,64,Kalimantan Timur,2022,48202.66
6402,Kutai Kartanegara,64,Kalimantan Timur,2022,105025.7
6403,Berau,64,Kalimantan Timur,2022,21135.98
6407,Kutai Barat,64,Kalimantan Timur,2022,1284.77
6408,Kutai Timur,64,Kalimantan Timur,2022,12076.25
6409,Penajam Paser Utara,64,Kalimantan Timur,2022,45160.69
6411,Mahakam Ulu,64,Kalimantan Timur,2022,489.42
6471,Balikpapan,64,Kalimantan Timur,2022,302.1
6472,Samarinda,64,Kalimantan Timur,2022,5492.34
6474,Bontang,64,Kalimantan Timur,2022,255.43
6501,Bulungan,65,Kalimantan Utara,2022,11626.22
6502,Malinau,65,Kalimantan Utara,2022,5333.52
6503,Nunukan,65,Kalimantan Utara,2022,12945.28
6504,Tana Tidung,65,Kalimantan Utara,2022,566.97
6571,Tarakan,65,Kalimantan Utara,2022,61.6
7101,Bolaang Mongondow,71,Sulawesi Utara,2022,132488.55
7102,Minahasa,71,Sulawesi Utara,2022,34801.54
7103,Kepulauan Sangihe,71,Sulawesi Utara,2022,0
7104,Kepulauan Talaud,71,Sulawesi Utara,2022,0
7105,Minahasa Selatan,71,Sulawesi Utara,2022,13010.03
